"Available Credit","Tín dụng khả dụng",""
"Payment Methods","Phương thức thanh toán",""
"Cash","Tiền mặt",""
"Card","Thẻ",""
"Wallet","Ví điện tử",""
"Bank Transfer","Chuyển khoản ngân hàng",""
"Item","Sản phẩm",""
"Items","Các sản phẩm",""
"Quantity","Số lượng",""
"Price","Giá",""
"Subtotal","Tổng phụ",""
"Grand Total","Tổng cộng",""
"Apply","Áp dụng",""
"Apply Coupon","Áp dụng phiếu giảm giá",""
"Coupon Code","Mã phiếu giảm giá",""
"Remove","Xóa",""
"Add","Thêm",""
"Update","Cập nhật",""
"Refresh","Làm mới",""
"Reload","Tải lại",""
"Print","In",""
"Download","Tải xuống",""
"Upload","Tải lên",""
"Import","Nhập",""
"Export","Xuất",""
"Filter","Lọc",""
"Sort","Sắp xếp",""
"Ascending","Tăng dần",""
"Descending","Giảm dần",""
"All","Tất cả",""
"None","Không",""
"Select All","Chọn tất cả",""
"Deselect All","Bỏ chọn tất cả",""
"Name","Tên",""
"Email","Email",""
"Phone","Điện thoại",""
"Address","Địa chỉ",""
"City","Thành phố",""
"State","Tỉnh",""
"Country","Quốc gia",""
"Postal Code","Mã bưu điện",""
"Notes","Ghi chú",""
"Description","Mô tả",""
"Category","Danh mục",""
"Type","Loại",""
"Unit","Đơn vị",""
"Stock","Hàng trong kho",""
"Available","Khả dụng",""
"Out of Stock","Hết hàng",""
"Low Stock","Hàng sắp hết",""
"In Stock","Còn hàng",""
"Barcode","Mã vạch",""
"SKU","Mã sản phẩm",""
"Image","Hình ảnh",""
"Gallery","Thư viện",""
"Product","Sản phẩm",""
"Products","Các sản phẩm",""
"Service","Dịch vụ",""
"Services","Các dịch vụ",""
"Order","Đơn hàng",""
"Orders","Các đơn hàng",""
"Invoice","Hóa đơn",""
"Invoices","Các hóa đơn",""
"Payment","Thanh toán",""
"Payments","Các khoản thanh toán",""
"Receipt","Biên lai",""
"Receipts","Các biên lai",""
"Refund","Hoàn lại",""
"Refunds","Các khoản hoàn lại",""
"Return","Hoàn trả",""
"Returns","Các hoàn trả",""
"Exchange","Trao đổi",""
"Exchanges","Các trao đổi",""
"Sale","Bán",""
"Sales","Bán hàng",""
"Purchase","Mua",""
"Purchases","Các lần mua",""
"Report","Báo cáo",""
"Reports","Các báo cáo",""
"Dashboard","Bảng điều khiển",""
"Home","Trang chủ",""
"Profile","Hồ sơ",""
"Account","Tài khoản",""
"Logout","Đăng xuất",""
"Login","Đăng nhập",""
"Sign In","Đăng nhập",""
"Sign Up","Đăng ký",""
"Register","Đăng ký",""
"Password","Mật khẩu",""
"Username","Tên người dùng",""
"Remember Me","Ghi nhớ tôi",""
"Forgot Password?","Quên mật khẩu?",""
"Reset Password","Đặt lại mật khẩu",""
"Change Password","Thay đổi mật khẩu",""
"Old Password","Mật khẩu cũ",""
"New Password","Mật khẩu mới",""
"Confirm Password","Xác nhận mật khẩu",""
"Today","Hôm nay",""
"Yesterday","Hôm qua",""
"This Week","Tuần này",""
"Last Week","Tuần trước",""
"This Month","Tháng này",""
"Last Month","Tháng trước",""
"This Year","Năm nay",""
"Last Year","Năm ngoái",""
"Custom Range","Phạm vi tùy chỉnh",""
"From","Từ",""
"To","Đến",""
"Start Date","Ngày bắt đầu",""
"End Date","Ngày kết thúc",""
"Time","Thời gian",""
"Hour","Giờ",""
"Hours","Giờ",""
"Minute","Phút",""
"Minutes","Phút",""
"Second","Giây",""
"Seconds","Giây",""
"Day","Ngày",""
"Days","Ngày",""
"Week","Tuần",""
"Weeks","Tuần",""
"Month","Tháng",""
"Months","Tháng",""
"Year","Năm",""
"Years","Năm",""
"Are you sure?","Bạn có chắc chắn không?",""
"This action cannot be undone","Hành động này không thể hoàn tác",""
"Confirm Delete","Xác nhận xóa",""
"Confirm Action","Xác nhận hành động",""
"Processing...","Đang xử lý...",""
"Please wait...","Vui lòng chờ...",""
"Saving...","Đang lưu...",""
"Loading data...","Đang tải dữ liệu...",""
"No data available","Không có dữ liệu",""
"No results found","Không tìm thấy kết quả",""
"Search results","Kết quả tìm kiếm",""
"Showing {0} to {1} of {2} entries","Hiển thị {0} đến {1} trong {2} mục",""
"Page","Trang",""
"Previous","Trước",""
"Next","Tiếp theo",""
"First","Đầu tiên",""
"Last","Cuối cùng",""
"per page","mỗi trang",""
"View","Xem",""
"View Shift","Xem ca làm việc",""
"View Details","Xem chi tiết",""
"Edit Details","Sửa chi tiết",""
"Copy","Sao chép",""
"Duplicate","Nhân đôi",""
"Archive","Lưu trữ",""
"Restore","Khôi phục",""
"Move","Di chuyển",""
"Rename","Đổi tên",""
"Share","Chia sẻ",""
"Download PDF","Tải xuống PDF",""
"Send Email","Gửi email",""
"Print Invoice","In hóa đơn",""
"Email Invoice","Gửi hóa đơn qua email",""
"Mark as Paid","Đánh dấu là đã thanh toán",""
"Mark as Unpaid","Đánh dấu là chưa thanh toán",""
"Payment Received","Đã nhận thanh toán",""
"Payment Pending","Thanh toán đang chờ",""
"Payment Failed","Thanh toán thất bại",""
"Completed","Hoàn thành",""
"Pending","Đang chờ",""
"Processing","Đang xử lý",""
"Cancelled","Đã hủy",""
"Refunded","Đã hoàn lại",""
"Draft","Bản nháp",""
"Submitted","Đã gửi",""
"Approved","Đã phê duyệt",""
"Rejected","Bị từ chối",""
"Active","Hoạt động",""
"Inactive","Không hoạt động",""
"Enabled","Đã bật",""
"Disabled","Đã tắt",""
"Online","Trực tuyến",""
"Offline","Ngoại tuyến",""
"Connected","Đã kết nối",""
"Disconnected","Đã ngắt kết nối",""
"Synced","Đã đồng bộ",""
"Not Synced","Chưa đồng bộ",""
"Syncing...","Đang đồng bộ...",""
"Last Sync","Đồng bộ cuối cùng",""
"Sync Now","Đồng bộ ngay",""
"Auto Sync","Đồng bộ tự động",""
"Manual Sync","Đồng bộ thủ công",""
"Clear Cache","Xóa bộ nhớ đệm",""
"Reset Settings","Đặt lại cài đặt",""
"Restore Defaults","Khôi phục mặc định",""
"About","Giới thiệu",""
"Help","Trợ giúp",""
"Support","Hỗ trợ",""
"Documentation","Tài liệu",""
"Version","Phiên bản",""
"License","Giấy phép",""
"Privacy Policy","Chính sách bảo mật",""
"Terms of Service","Điều khoản dịch vụ",""
"Contact Us","Liên hệ chúng tôi",""
"Feedback","Phản hồi",""
"Rate Us","Đánh giá chúng tôi",""
"More","Thêm",""
"Less","Ít hơn",""
"Show More","Hiển thị thêm",""
"Show Less","Hiển thị ít hơn",""
"Expand","Mở rộng",""
"Collapse","Thu gọn",""
"Full Screen","Toàn màn hình",""
"Exit Full Screen","Thoát toàn màn hình",""
"Shift Open:","Mở ca làm việc:",""
"Offline ({0} pending)","Ngoại tuyến ({0} đang chờ)",""
"Online - Click to sync","Trực tuyến - Nhấp để đồng bộ",""
"Offline mode active","Chế độ ngoại tuyến đang hoạt động",""
"Online mode active","Chế độ trực tuyến đang hoạt động",""
"Cache","Bộ nhớ đệm",""
"Items:","Sản phẩm:",""
"Last Sync:","Đồng bộ cuối cùng:",""
"Status:","Trạng thái:",""
"Auto-Sync:","Đồng bộ tự động:",""
"Refreshing...","Đang làm mới...",""
"Refresh Items","Làm mới sản phẩm",""
"Refreshing items...","Đang làm mới sản phẩm...",""
"Refresh items list","Làm mới danh sách sản phẩm",""
"Empty","Trống",""
"Syncing","Đang đồng bộ",""
"Ready","Sẵn sàng",""
"Never","Không bao giờ",""
"Cache empty","Bộ nhớ đệm trống",""
"Cache syncing","Bộ nhớ đệm đang đồng bộ",""
"Cache ready","Bộ nhớ đệm sẵn sàng",""
"Access your point of sale system","Truy cập hệ thống POS của bạn",""
"Your cart is empty","Giỏ hàng của bạn trống",""
"Cart Items","Sản phẩm trong giỏ",""
"Clear","Xóa",""
"Last 7 Days","7 ngày gần đây",""
"Last 30 Days","30 ngày gần đây",""
"All Status","Tất cả trạng thái",""
"Partly Paid","Thanh toán một phần",""
"Overdue","Quá hạn",""
"Negative Stock","Hàng âm",""
"Cart","Giỏ hàng",""
"Welcome to POS Next","Chào mừng đến POS Next",""
"Please open a shift to start making sales","Vui lòng mở ca làm việc để bắt đầu bán hàng",""
"Clear Cart?","Xóa giỏ hàng?",""
"Remove all {0} items from cart?","Xóa tất cả {0} sản phẩm khỏi giỏ?",""
"Clear All","Xóa tất cả",""
"Sign Out Confirmation","Xác nhận đăng xuất",""
"Your Shift is Still Open!","Ca làm việc của bạn vẫn còn mở!",""
"Close your shift first to save all transactions properly","Vui lòng đóng ca làm việc trước để lưu tất cả giao dịch",""
"Close Shift & Sign Out","Đóng ca làm việc & Đăng xuất",""
"Skip & Sign Out","Bỏ qua & Đăng xuất",""
"Sign Out?","Đăng xuất?",""
"You will be logged out of POS Next","Bạn sẽ bị đăng xuất khỏi POS Next",""
"Sign Out","Đăng xuất",""
"Signing Out...","Đang đăng xuất...",""
"Invoice Created Successfully","Hóa đơn được tạo thành công",""
"Invoice {0} created successfully!","Hóa đơn {0} được tạo thành công!",""
"Total: {0}","Tổng: {0}",""
"An unexpected error occurred.","Đã xảy ra lỗi không mong muốn.",""
"Delete Invoice","Xóa hóa đơn",""
"Try Again","Thử lại",""
"Tax mode updated. Cart recalculated with new tax settings.","Cập nhật chế độ thuế. Tính lại giỏ hàng với cài đặt thuế mới.",""
"Discount settings changed. Cart recalculated.","Cài đặt giảm giá đã thay đổi. Tính lại giỏ hàng.",""
"Prices are now tax-inclusive. This will apply to new items added to cart.","Giá hiện bao gồm thuế. Điều này sẽ áp dụng cho các sản phẩm mới thêm vào giỏ.",""
"Prices are now tax-exclusive. This will apply to new items added to cart.","Giá hiện không bao gồm thuế. Điều này sẽ áp dụng cho các sản phẩm mới thêm vào giỏ.",""
"Negative stock sales are now allowed","Bán hàng âm hiện được phép",""
"Negative stock sales are now restricted","Bán hàng âm hiện bị hạn chế",""
"Credit Sale","Bán chịu",""
"Write Off Change","Xóa tiền thối",""
"Partial Payment","Thanh toán một phần",""
"Silent Print","In im lặng",""
"{0} settings applied immediately","Cài đặt {0} được áp dụng ngay",""
"You can now start making sales","Bây giờ bạn có thể bắt đầu bán hàng",""
"Shift closed successfully","Ca làm việc đã đóng thành công",""
"Insufficient Stock","Hàng không đủ",""
"Item: {0}","Sản phẩm: {0}",""
"\"{0}\" cannot be added to cart. Bundle is out of stock. Allow Negative Stock is disabled.","\"{0}\" không thể thêm vào giỏ. Gói hàng đã hết. Cho phép bán hàng âm bị tắt.",""
"\"{0}\" cannot be added to cart. Item is out of stock. Allow Negative Stock is disabled.","\"{0}\" không thể thêm vào giỏ. Sản phẩm đã hết. Cho phép bán hàng âm bị tắt.",""
"{0} selected","Đã chọn {0}",""
"Please add items to cart before proceeding to payment","Vui lòng thêm sản phẩm vào giỏ trước khi thanh toán",""
"Please select a customer before proceeding","Vui lòng chọn khách hàng trước",""
"Invoice saved offline. Will sync when online","Hóa đơn đã lưu ngoại tuyến. Sẽ đồng bộ khi trực tuyến",""
"Unknown","Không xác định",""
"Invoice {0} created and sent to printer","Hóa đơn {0} được tạo và gửi đến máy in",""
"Invoice {0} created but print failed","Hóa đơn {0} được tạo nhưng in thất bại",""
"Invoice {0} created successfully","Hóa đơn {0} được tạo thành công",""
"All items removed from cart","Tất cả sản phẩm đã xóa khỏi giỏ",""
"{0} added to cart","{0} được thêm vào giỏ",""
"{0} ({1}) added to cart","{0} ({1}) được thêm vào giỏ",""
"Failed to process selection. Please try again.","Không thể xử lý lựa chọn. Vui lòng thử lại.",""
"Return invoice {0} created successfully","Hóa đơn hoàn trả {0} được tạo thành công",""
"Creating return for invoice {0}","Đang tạo hoàn trả cho hóa đơn {0}",""
"{0} created and selected","Đã tạo và chọn {0}",""
"All cached data has been cleared successfully","Tất cả dữ liệu được lưu trong bộ nhớ đệm đã bị xóa",""
"Failed to clear cache. Please try again.","Không thể xóa bộ nhớ đệm. Vui lòng thử lại.",""
"Your point of sale system is ready to use.","Hệ thống POS của bạn sẵn sàng sử dụng.",""
"Shift Status","Trạng thái ca làm việc",""
"Shift is Open","Ca làm việc đang mở",""
"<strong>POS Profile:<strong> {0}","<strong>Hồ sơ POS:<strong> {0}",""
"<strong>Company:<strong>","<strong>Công ty:<strong>",""
"<strong>Opened:<strong>","<strong>Mở vào:<strong>",""
"Start Sale","Bắt đầu bán",""
"No Active Shift","Không có ca làm việc hoạt động",""
"You need to open a shift before you can start making sales.","Bạn cần mở ca làm việc trước khi có thể bắt đầu bán hàng.",""
"System Test","Kiểm tra hệ thống",""
"Test Connection","Kiểm tra kết nối",""
"✓ Connection successful: {0}","✓ Kết nối thành công: {0}",""
"✗ Connection failed: {0}","✗ Kết nối thất bại: {0}",""
"Confirm Sign Out","Xác nhận đăng xuất",""
"Active Shift Detected","Phát hiện ca làm việc hoạt động",""
"You have an active shift open. Would you like to:","Bạn có ca làm việc hoạt động đang mở. Bạn muốn:",""
"Are you sure you want to sign out of POS Next?","Bạn có chắc chắn muốn đăng xuất khỏi POS Next?",""
"Sign Out Only","Chỉ đăng xuất",""
"TAX INVOICE","HÓA ĐƠN THUẾ",""
"Invoice #:","Số hóa đơn:",""
"Date:","Ngày:",""
"Customer:","Khách hàng:",""
"Status:","Trạng thái:",""
"PARTIAL PAYMENT","THANH TOÁN MỘT PHẦN",""
"(FREE)","(MIỄN PHÍ)",""
"Subtotal:","Tổng phụ:",""
"Tax:","Thuế:",""
"TOTAL:","TỔNG CỘNG:",""
"Total Paid:","Tổng đã thanh toán:",""
"Change:","Tiền thối:",""
"BALANCE DUE:","SỐ DƯ CÒN NỢ:",""
"Thank you for your business!","Cảm ơn bạn đã tin tưởng!",""
"Invoice - {0}","Hóa đơn - {0}",""
"Offline invoice deleted successfully","Hóa đơn ngoại tuyến đã bị xóa",""
"Failed to delete offline invoice","Không thể xóa hóa đơn ngoại tuyến",""
"Cannot sync while offline","Không thể đồng bộ khi ngoại tuyến",""
"{0} invoice(s) synced successfully","Đã đồng bộ {0} hóa đơn thành công",""
"Loading customers for offline use...","Đang tải khách hàng để sử dụng ngoại tuyến...",""
"Data is ready for offline use","Dữ liệu sẵn sàng để sử dụng ngoại tuyến",""
"Some data may not be available offline","Một số dữ liệu có thể không khả dụng ngoại tuyến",""
"POS is offline without cached data. Please connect to sync.","POS ngoại tuyến mà không có dữ liệu được lưu trong bộ nhớ đệm. Vui lòng kết nối để đồng bộ.",""
"{0} applied successfully","Đã áp dụng {0} thành công",""
"Discount has been removed from cart","Giảm giá đã bị xóa khỏi giỏ",""
"Add items to the cart before applying an offer.","Thêm sản phẩm vào giỏ trước khi áp dụng ưu đãi.",""
"Your cart doesn't meet the requirements for this offer.","Giỏ của bạn không đáp ứng yêu cầu cho ưu đãi này.",""
"Failed to apply offer. Please try again.","Không thể áp dụng ưu đãi. Vui lòng thử lại.",""
"Offer has been removed from cart","Ưu đãi đã bị xóa khỏi giỏ",""
"Failed to update cart after removing offer.","Không thể cập nhật giỏ sau khi xóa ưu đãi.",""
"Unit changed to {0}","Đơn vị đã thay đổi thành {0}",""
"Failed to update UOM. Please try again.","Không thể cập nhật đơn vị. Vui lòng thử lại.",""
"{0} updated successfully","Cập nhật {0} thành công",""
"Failed to update item. Please try again.","Không thể cập nhật sản phẩm. Vui lòng thử lại.",""
"{0}h {1}m {2}s","{0}h {1}p {2}g",""
"Sync Complete","Đồng bộ hoàn tất",""
"Search by phone: {0}","Tìm kiếm theo điện thoại: {0}",""
"Search by email: {0}","Tìm kiếm theo email: {0}",""
"Create new customer: {0}","Tạo khách hàng mới: {0}",""
"From {0}","Từ {0}",""
"Until {0}","Cho đến {0}",""
"Validation Error","Lỗi xác thực",""
"Permission Denied","Bị từ chối quyền",""
"Not Found","Không tìm thấy",""
"Server Error","Lỗi máy chủ",""
"Not enough stock available in the warehouse.\n\nPlease reduce the quantity or check stock availability.","Không đủ hàng trong kho.\n\nVui lòng giảm số lượng hoặc kiểm tra tính sẵn có của hàng.",""
"Pricing Error","Lỗi định giá",""
"Customer Error","Lỗi khách hàng",""
"Tax Configuration Error","Lỗi cấu hình thuế",""
"Payment Error","Lỗi thanh toán",""
"Naming Series Error","Lỗi chuỗi đặt tên",""
"Connection Error","Lỗi kết nối",""
"Unable to connect to server. Check your internet connection.","Không thể kết nối đến máy chủ. Kiểm tra kết nối internet của bạn.",""
"Duplicate Entry","Mục trùng lặp",""
"Error Report - POS Next","Báo cáo lỗi - POS Next",""
"Title: {0}","Tiêu đề: {0}",""
"Type: {0}","Loại: {0}",""
"Message: {0}","Tin nhắn: {0}",""
"Technical: {0}","Kỹ thuật: {0}",""
"Timestamp: {0}","Dấu thời gian: {0}",""
"User: {0}","Người dùng: {0}",""
"POS Profile: {0}","Hồ sơ POS: {0}",""
"Partial Payments","Thanh toán một phần",""
"Manage invoices with pending payments","Quản lý hóa đơn có thanh toán đang chờ",""
"{0} invoice - {1} outstanding","{0} hóa đơn - {1} còn nợ",""
"{0} invoices - {1} outstanding","{0} hóa đơn - {1} còn nợ",""
"Loading invoices...","Đang tải hóa đơn...",""
"No Partial Payments","Không có thanh toán một phần",""
"All invoices are either fully paid or unpaid","Tất cả hóa đơn đều hoàn toàn được thanh toán hoặc chưa được thanh toán",""
"Add Payment","Thêm thanh toán",""
"Payment History","Lịch sử thanh toán",""
"Failed to load partial payments","Không thể tải thanh toán một phần",""
"Payment added successfully","Thanh toán được thêm thành công",""
"Failed to add payment","Không thể thêm thanh toán",""
"Open POS Shift","Mở ca làm việc POS",""
"Select POS Profile","Chọn hồ sơ POS",""
"No POS Profiles available. Please contact your administrator.","Không có hồ sơ POS. Vui lòng liên hệ với quản trị viên.",""
"Change Profile","Thay đổi hồ sơ",""
"Opening Balance (Optional)","Số dư ban đầu (Tùy chọn)",""
"No payment methods configured for this POS Profile","Không có phương thức thanh toán được cấu hình cho hồ sơ POS này",""
"Existing Shift Found","Tìm thấy ca làm việc hiện có",""
"You have an open shift. Would you like to resume it or close it and open a new one?","Bạn có ca làm việc đang mở. Bạn muốn tiếp tục hay đóng nó và mở cái mới?",""
"<strong>POS Profile:</strong> {0}","<strong>Hồ sơ POS:</strong> {0}",""
"<strong>Opened:</strong> {0}","<strong>Mở vào:</strong> {0}",""
"Resume Shift","Tiếp tục ca làm việc",""
"Close & Open New","Đóng & Mở mới",""
"Back","Quay lại",""
"At least {0} items required","Cần ít nhất {0} sản phẩm",""
"Maximum {0} items allowed for this offer","Tối đa {0} sản phẩm được phép cho ưu đãi này",""
"Minimum cart value of {0} required","Giá trị giỏ tối thiểu {0} được yêu cầu",""
"Maximum cart value exceeded ({0})","Vượt quá giá trị giỏ tối đa ({0})",""
"Cart does not contain eligible items for this offer","Giỏ không chứa các sản phẩm hỗ trợ cho ưu đãi này",""
"Cart does not contain items from eligible groups","Giỏ không chứa các sản phẩm từ các nhóm hỗ trợ",""
"Cannot save an empty cart as draft","Không thể lưu giỏ trống dưới dạng bản nháp",""
"Invoice saved as draft successfully","Hóa đơn đã lưu dưới dạng bản nháp thành công",""
"Failed to save draft","Không thể lưu bản nháp",""
"Draft invoice loaded successfully","Hóa đơn bản nháp được tải thành công",""
"Failed to load draft","Không thể tải bản nháp",""
"Close POS Shift","Đóng ca làm việc POS",""
"Loading shift data...","Đang tải dữ liệu ca làm việc...",""
"Calculating totals and reconciliation...","Tính toán tổng và đối soát...",""
"Duration","Thời lượng",""
"Total Sales","Tổng bán hàng",""
"{0} invoices","{0} hóa đơn",""
"Net Amount","Số tiền ròng",""
"Before tax","Trước thuế",""
"Items Sold","Sản phẩm bán được",""
"Total items","Tổng sản phẩm",""
"Tax Collected","Thuế được thu",""
"Total tax","Tổng thuế",""
"No Sales During This Shift","Không có bán hàng trong ca làm việc này",""
"No invoices were created. Closing amounts should match opening amounts.","Không có hóa đơn nào được tạo. Số tiền kết thúc phải khớp với số tiền ban đầu.",""
"Invoice Details","Chi tiết hóa đơn",""
"{0} transactions • {1}","{0} giao dịch • {1}",""
"N/A","Không áp dụng",""
"Total:","Tổng:",""
"Payment Reconciliation","Đối soát thanh toán",""
"✓ Shift Closed","✓ Ca làm việc đã đóng",""
"Total Variance","Tổng chênh lệch",""
"Enter actual amount for {0}","Nhập số tiền thực tế cho {0}",""
"Expected: <span class=\"font-medium\">{0}</span>","Dự kiến: <span class=\"font-medium\">{0}</span>",""
"✓ Balanced","✓ Cân bằng",""
"Over {0}","Dư {0}",""
"Short {0}","Thiếu {0}",""
"Opening","Mở đầu",""
"Shift start","Bắt đầu ca làm việc",""
"Expected","Dự kiến",""
"No sales","Không bán hàng",""
"Actual Amount *","Số tiền thực tế *",""
"Final Amount","Số tiền cuối cùng",""
"Count & enter","Đếm & nhập",""
"Cash Over","Tiền mặt dư",""
"Cash Short","Tiền mặt thiếu",""
"You have more than expected.","Bạn có nhiều hơn dự kiến.",""
"You have less than expected.","Bạn có ít hơn dự kiến.",""
"Total Expected","Tổng dự kiến",""
"Total Actual","Tổng thực tế",""
"Net Variance","Chênh lệch ròng",""
"Tax Summary","Tóm tắt thuế",""
"Total Tax Collected","Tổng thuế được thu",""
"Error Closing Shift","Lỗi khi đóng ca làm việc",""
"Dismiss","Bỏ qua",""
"Failed to Load Shift Data","Không thể tải dữ liệu ca làm việc",""
"Please enter all closing amounts","Vui lòng nhập tất cả số tiền kết thúc",""
"✓ Shift closed successfully","✓ Ca làm việc đã đóng thành công",""
"Closing Shift...","Đang đóng ca làm việc...",""
"{0}h {1}m","{0}h {1}p",""
"{0}m","{0}p",""
"-- Select --","-- Chọn --",""
"Select Customer","Chọn khách hàng",""
"Search and select a customer for the transaction","Tìm kiếm và chọn khách hàng cho giao dịch",""
"Search customers by name, mobile, or email...","Tìm kiếm khách hàng theo tên, điện thoại hoặc email...",""
"Search customers","Tìm kiếm khách hàng",""
"⭐ Recent & Frequent","⭐ Gần đây & Thường xuyên",""
"{0} of {1} customers","{0} của {1} khách hàng",""
"• Use ↑↓ to navigate, Enter to select","• Dùng ↑↓ để điều hướng, Enter để chọn",""
"Loading customers...","Đang tải khách hàng...",""
"No customers available","Không có khách hàng",""
"Create your first customer to get started","Tạo khách hàng đầu tiên của bạn để bắt đầu",""
"No results for \"{0}\"","Không có kết quả cho \"{0}\"",""
"Try a different search term or create a new customer","Thử một từ tìm kiếm khác hoặc tạo khách hàng mới",""
"+ Create New Customer","+ Tạo khách hàng mới",""
"All Items","Tất cả sản phẩm",""
"Syncing catalog in background... {0} items cached","Đang đồng bộ danh mục trong nền... {0} sản phẩm được lưu trong bộ nhớ đệm",""
"Search items","Tìm kiếm sản phẩm",""
"Barcode Scanner: ON (Click to disable)","Máy quét mã vạch: BẬT (Nhấp để tắt)",""
"Barcode Scanner: OFF (Click to enable)","Máy quét mã vạch: TẮT (Nhấp để bật)",""
"Disable barcode scanner","Tắt máy quét mã vạch",""
"Enable barcode scanner","Bật máy quét mã vạch",""
"Auto-Add: ON - Press Enter to add items to cart","Tự động thêm: BẬT - Nhấn Enter để thêm sản phẩm vào giỏ",""
"Auto-Add: OFF - Click to enable automatic cart addition on Enter","Tự động thêm: TẮT - Nhấp để bật thêm giỏ tự động khi Enter",""
"Disable auto-add","Tắt tự động thêm",""
"Enable auto-add","Bật tự động thêm",""
"Auto","Tự động",""
"Grid View","Chế độ xem lưới",""
"Switch to grid view","Chuyển sang chế độ xem lưới",""
"List View","Chế độ xem danh sách",""
"Switch to list view","Chuyển sang chế độ xem danh sách",""
"Sorted by {0} A-Z","Sắp xếp theo {0} A-Z",""
"Sorted by {0} Z-A","Sắp xếp theo {0} Z-A",""
"Sort items","Sắp xếp sản phẩm",""
"Sort Items","Sắp xếp sản phẩm",""
"No Sorting","Không sắp xếp",""
"Loading items...","Đang tải sản phẩm...",""
"No results for {0} in {1}","Không có kết quả cho {0} trong {1}",""
"No results in {0}","Không có kết quả trong {0}",""
"No results for {0}","Không có kết quả cho {0}",""
"No items available","Không có sản phẩm",""
"{0}: {1} {2}","{0}: {1} {2}",""
"Nos","Cái",""
"Check availability in other warehouses","Kiểm tra tính sẵn có ở các kho khác",""
"Check Availability in All Wherehouses","Kiểm tra tính sẵn có ở tất cả kho",""
"Selected","Đã chọn",""
